Date,Open,High,Low,Close,Adj Close,Volume
10/10/1990,3.34375,3.34375,3.21875,3.234375,1.727645,200000
10/11/1990,3.25,3.25,3.203125,3.21875,1.719299,34400
10/12/1990,3.1875,3.203125,3.171875,3.203125,1.710953,89600
10/15/1990,3.203125,3.203125,3.15625,3.15625,1.685915,36800
10/16/1990,3.140625,3.15625,3.109375,3.109375,1.660876,153600
10/17/1990,3.109375,3.125,3.09375,3.125,1.669223,11200
10/18/1990,3.109375,3.125,3.109375,3.109375,1.660876,113600
10/19/1990,3.109375,3.109375,3.078125,3.09375,1.65253,36800
10/22/1990,3.109375,3.109375,3.0625,3.0625,1.635838,68000
10/23/1990,3.0625,3.109375,3.0625,3.109375,1.660876,17600
10/24/1990,3.125,3.15625,3.125,3.15625,1.685915,120000
10/25/1990,3.1875,3.328125,3.1875,3.328125,1.777722,112800
10/26/1990,3.3125,3.359375,3.3125,3.359375,1.794413,22400
10/29/1990,3.375,3.375,3.359375,3.359375,1.794413,16000
10/30/1990,3.34375,3.359375,3.28125,3.296875,1.76103,29600
10/31/1990,3.3125,3.453125,3.3125,3.375,1.80276,366400
11/1/1990,3.375,3.375,3.359375,3.375,1.80276,163200
11/2/1990,3.375,3.53125,3.375,3.5,1.869528,469600
11/5/1990,3.53125,3.546875,3.46875,3.46875,1.852837,426400
11/6/1990,3.484375,3.484375,3.421875,3.421875,1.827798,8800
11/7/1990,3.421875,3.421875,3.375,3.375,1.80276,148000
11/8/1990,3.34375,3.390625,3.34375,3.390625,1.811107,37600
11/9/1990,3.375,3.4375,3.375,3.421875,1.827798,397600
11/12/1990,3.390625,3.390625,3.328125,3.328125,1.777722,76800
11/13/1990,3.15625,3.15625,3.109375,3.109375,1.660876,208000
11/14/1990,3.125,3.1875,3.109375,3.1875,1.702607,75200
11/15/1990,3.15625,3.171875,3.125,3.140625,1.677569,45600
11/16/1990,3.140625,3.15625,3.09375,3.15625,1.685915,300800
11/19/1990,3.15625,3.15625,2.984375,2.984375,1.594107,456800
11/20/1990,2.96875,2.96875,2.84375,2.921875,1.560724,329600
11/21/1990,2.90625,2.96875,2.890625,2.96875,1.585761,32800
11/23/1990,2.96875,2.984375,2.96875,2.96875,1.585761,18400
11/26/1990,2.984375,3,2.96875,2.96875,1.585761,40000
11/27/1990,2.984375,2.984375,2.9375,2.953125,1.577415,39200
11/28/1990,2.953125,2.953125,2.90625,2.921875,1.560724,145600
11/29/1990,2.90625,2.90625,2.90625,2.90625,1.552377,36800
11/30/1990,2.875,2.890625,2.765625,2.8125,1.502301,236000
12/3/1990,2.796875,2.796875,2.609375,2.75,1.468915,366400
12/4/1990,2.734375,2.734375,2.671875,2.71875,1.452224,230400
12/5/1990,2.71875,2.796875,2.71875,2.78125,1.485608,432000
12/6/1990,2.78125,2.8125,2.734375,2.75,1.468915,248800
12/7/1990,2.71875,2.71875,2.625,2.71875,1.452224,257600
12/10/1990,2.734375,2.734375,2.703125,2.71875,1.452224,179200
12/11/1990,2.703125,2.78125,2.703125,2.734375,1.460569,981600
12/12/1990,2.75,2.78125,2.734375,2.78125,1.485608,493600
12/13/1990,2.75,2.75,2.71875,2.71875,1.452224,908000
12/14/1990,2.71875,2.78125,2.65625,2.78125,1.485608,207200
12/17/1990,2.796875,2.828125,2.734375,2.734375,1.460569,89600
12/18/1990,2.765625,2.796875,2.703125,2.703125,1.443877,153600
12/19/1990,2.703125,2.734375,2.640625,2.640625,1.410493,277600
12/20/1990,2.609375,2.609375,2.546875,2.5625,1.368762,1007200
